Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
A1CF	25.6996	23.731514	30.277252	22.623016	31.228437	25.974745	42.70056	16.695362
A2BP1	9.1828575	95.64436	169.52783	4.010363	42.22022	183.30054	102.9052	176.17497
A2M	17.074917	16.224142	26.059647	18.53851	23.79374	27.261112	19.832571	13.188072
A2ML1	12.360071	20.280651	116.647194	23.246927	77.58391	22.102728	27.716167	10.706015
A4GALT	11.59652	14.758089	22.164886	6.028063	11.907373	7.6092467	3.9872482	2.9337227
A4GNT	18.439648	36.20261	9.089037	24.512337	21.626408	22.66333	11.68537	17.859785
AAAS	26.785727	34.38339	25.678272	43.40854	43.30288	19.864923	25.370678	24.436703
AACS	41.10042	49.27219	135.46791	61.232086	314.76538	130.50885	152.0721	175.6142
AADAC	1.8127791	0.91270536	48.72078	1.3391792	152.4462	2.6286318	3.1977742	1.2357601
AADACL1	12.776433	33.155655	18.950256	25.246136	21.55003	99.579796	26.8871	108.17158
AADACL2	3.14115	1.047025	24.271334	6.86647	19.701239	3.2109723	0.7616446	0.90326256
AADAT	52.34834	71.129814	27.801329	11.250335	28.988302	34.260544	13.246792	54.246464
AAK1	276.9771	387.41772	201.20534	243.08727	206.03947	754.6715	288.77753	879.05414
AAMP	63.11321	71.85502	35.961327	70.457504	97.8244	72.50923	85.29382	91.222145
AARS	326.08798	426.67224	132.77	167.98213	249.76434	491.23322	207.31561	445.49112
AARS2	3.646008	17.313398	5.4010286	17.014328	4.3952355	17.163677	4.9410157	4.2312336
AARSD1	30.437037	65.059814	61.89198	57.673744	45.53572	73.49722	93.0764	75.20381
AASDHPPT	240.29904	458.15594	136.7781	189.71706	266.1713	561.6425	122.303505	520.92535
AASS	31.952261	31.040384	17.790676	3.7438898	14.903083	36.606625	6.681951	16.91617
AATF	57.086308	86.96271	46.99402	83.657364	51.880424	94.259026	39.869263	61.989185
AATK	450.7086	452.4106	22.6412	15.919296	62.924267	377.17908	54.631546	287.0752
ABAT	31.8446	39.859253	11.717719	12.906828	19.93934	22.835821	25.383648	22.341421
ABCA1	6.1032963	10.97895	9.561386	4.953059	4.303438	1.4275267	13.890654	6.2652297
ABCA12	1.2528338	6.7416425	7.759774	6.8745093	14.80132	5.5521917	0.6701937	1.0305125
ABCA13	0.28297025	0.19772352	2.1205251	6.521182	6.1135983	1.3138055	0.21303792	0.447167
ABCA2	1.3771312	1.1959742	1.3412489	0.7561631	0.7848216	3.13419	2.4273882	0.648344
ABCA3	46.04488	71.25194	7.2165637	30.9127	22.700073	79.0753	24.287495	82.77053
ABCA4	7.45696	11.22158	6.957032	7.458158	13.677839	3.0315666	4.153342	1.1914132
ABCA5	53.737743	105.745834	71.68912	58.031437	105.59374	97.014694	132.16977	83.85398
ABCA6	20.740292	21.310081	18.59736	28.385849	31.74092	12.44749	50.295277	10.202792
ABCA7	32.94875	36.774	37.292885	68.19621	41.136646	49.217518	27.321983	23.729246
ABCA8	31.401665	29.366068	11.755867	10.577704	20.14362	12.618241	8.327433	13.979052
ABCA9	9.045451	11.534326	1.6423078	2.4610128	7.51141	12.290714	13.501688	10.070637
ABCB1	75.463974	105.41865	18.785948	25.95743	21.12979	91.55249	15.421911	40.89923
ABCB10	30.378115	50.302296	47.19258	69.79434	77.99361	34.44738	33.76849	27.22412
ABCB11	1.5615057	1.4346273	5.260514	2.9136276	3.851293	6.1247916	1.1848856	4.7274437
ABCB4	3.060181	2.0562263	5.070391	58.44887	0.58198285	1.6292605	7.969186	6.474533
ABCB5	1.2228339	4.7319956	2.04704	2.9812942	1.849437	1.6788187	3.0117428	1.8152316
ABCB6	1.6887506	1.1393213	2.0128596	2.4480867	4.056883	1.9272726	2.3364756	1.2367464
ABCB7	24.10846	38.229103	45.910366	63.014656	54.369747	41.53761	77.160065	36.077213
ABCB8	0.78254324	11.647816	9.321648	3.761123	10.460271	14.403247	12.138033	0.79518443
ABCB9	42.20377	43.779312	27.030085	30.676702	32.020023	40.833683	27.947763	20.490614
ABCC1	61.239895	70.69311	127.8439	147.11429	108.61376	62.818558	100.19245	50.398815
ABCC10	57.486927	84.17755	82.07392	99.21656	89.035416	83.873795	83.174934	66.65889
ABCC11	9.439614	32.85227	12.66133	2.8239527	15.416239	13.657138	6.7403984	14.867953
ABCC12	12.974284	1.1803784	6.7967496	9.796197	15.989861	10.752992	10.012537	5.4495525
ABCC13	10.938744	7.42567	7.246053	6.756845	2.0304964	6.4756308	5.123219	9.042187
ABCC2	6.159908	1.5247747	1.0255826	3.7635908	16.247631	1.1372813	1.6943527	1.092489
ABCC3	10.978113	2.6971228	22.871838	48.536903	17.154268	3.6728334	3.398378	5.4874
ABCC4	16.22135	14.766147	14.616576	13.789155	10.798446	8.476692	1.9638842	1.446055
ABCC5	14.019544	9.161323	18.617548	10.669446	14.807444	9.2597685	9.104124	3.8274286
ABCC6	1.8629299	0.69007444	1.3419324	0.9999088	0.6051162	0.707926	1.043187	0.53033966
ABCC8	1.0759822	2.5287929	1.2850776	1.796905	3.2204125	2.4678624	1.7808583	0.9507713
ABCC9	23.444483	16.269785	46.43891	14.560418	31.31719	15.619675	52.29584	22.033829
ABCD1	33.130882	28.328766	34.03442	28.579638	46.245464	23.639057	48.7235	31.818525
ABCD2	11.46593	5.3277965	7.6846013	7.0618987	4.335315	10.274035	8.2143955	10.9728365
ABCD3	15.474135	14.422427	27.796492	22.239609	43.275043	21.926476	6.600043	0.63812083
ABCD4	73.74944	83.77243	57.263577	74.24127	90.03842	56.577965	64.78889	34.832848
ABCE1	70.97557	85.36693	64.83209	84.50678	114.395645	75.46918	81.50361	69.074974
ABCF1	102.394104	101.16595	157.89455	155.25949	108.79714	95.8768	137.5453	127.865326
ABCF2	39.58481	46.339775	38.184273	36.911777	41.563293	35.183422	32.042206	39.072323
ABCG1	67.15892	45.32347	27.526464	70.030525	36.755226	38.635925	54.574993	38.782635
ABCG2	148.70418	204.90053	18.658463	10.006426	20.622316	202.94437	20.966982	131.65598
ABCG4	22.216673	40.518948	20.5225	16.196543	21.564713	62.82464	4.0084596	27.483381
ABCG5	0.4917232	7.7072096	1.8814301	0.38454112	0.6683146	5.1985087	1.252085	0.5367767
ABCG8	3.659565	3.726094	11.790675	2.8414314	3.0899677	2.632537	18.402428	2.453216
ABHD2	29.687397	33.135265	23.602167	38.441006	48.858433	36.343475	35.578793	19.036774
ABHD4	107.87596	113.91269	104.83941	70.10375	184.95798	110.19034	102.76207	81.24736
ABHD5	24.017267	46.22178	18.496344	0.61944175	30.749992	22.53014	24.376944	21.922573
ABI1	1.597563	1.8081924	5.63487	3.734357	0.9763633	0.43818468	3.5989203	0.4689264
ABI2	71.76254	62.67265	53.21881	54.93046	57.21301	72.31174	47.838005	31.170275
ABI3	39.70201	40.72595	8.60812	69.862976	13.035578	25.929583	21.028461	25.486341
ABL1	205.88838	189.12027	74.905106	76.32496	112.077095	157.21872	117.61696	114.54392
ABL2	14.066229	11.78744	16.342915	2.598175	36.89633	22.711046	19.475388	9.641312
ABLIM1	343.01437	371.18832	795.2259	408.76398	839.3909	443.5753	964.99994	457.73203
ABLIM2	29.15798	5.058903	42.73319	29.36111	12.667713	43.237297	22.552258	27.589169
ABLIM3	80.33303	99.89089	56.577892	27.031076	81.64007	112.122345	102.885544	26.743273
ABO	2.2405481	3.6293063	6.9646344	1.5283732	3.8714294	1.8821379	10.322961	1.7016383
ABP1	11.905291	6.3549523	22.699852	21.13775	11.033436	2.3433874	7.5566516	10.451764
ABR	255.80101	287.52835	89.80452	121.772964	217.47148	219.77863	115.58907	181.2751
ABRA	0.6224351	0.49064523	35.36256	0.4207677	2.316432	0.83732885	60.476635	0.62696445
ABT1	6.25414	42.160435	48.972202	99.48804	40.077614	34.999386	43.503654	5.4895306
ABTB1	10.518949	2.6837895	2.3569827	2.6994717	3.7427232	6.4154615	2.3279283	6.5552893
ACAA1	106.48174	94.892456	80.58283	89.400406	108.49661	66.04117	70.312515	75.42365
ACAA2	23.637959	30.904007	3.775979	7.911598	5.843295	20.731783	5.80538	4.5847206
ACACA	133.54424	160.36165	33.600674	7.9769893	80.91628	156.44232	53.162796	145.86133
ACACB	122.18558	116.68588	109.69859	69.026794	70.9442	96.87608	116.40611	93.85198
ACAD8	61.59539	75.6594	56.554874	83.4245	119.243805	82.61636	73.229095	89.470955
ACAD9	79.226036	118.38457	126.56946	114.88011	116.129974	101.43824	119.182175	77.184555
ACADL	12.256606	6.2567654	17.34966	0.87501186	35.38506	8.802875	44.174545	8.509421
ACADM	234.3869	295.04584	525.0646	291.40567	310.90375	302.76276	478.3379	251.11111
ACADS	44.75465	28.728241	60.369724	41.73803	62.1287	36.183567	80.591515	22.56455
ACADSB	16.26736	18.231064	29.000488	15.784555	63.38004	17.17153	16.385563	10.4995165
ACADVL	274.34494	275.66135	579.538	220.68152	536.19415	249.16429	1018.8768	212.118
ACAN	1.7460504	27.761133	4.1704793	3.615851	19.110443	18.01955	8.115973	13.228114
ACAT1	7.5090394	10.087487	3.8904455	6.599315	2.1198406	1.1208124	3.7278545	8.080932
ACAT2	91.41026	126.68317	89.264084	96.28213	157.83711	325.84143	31.183346	259.2775
ACBD3	119.9069	106.9908	206.91695	140.36519	275.26947	78.85476	187.52046	102.46294
ACBD5	91.03834	115.89886	22.844553	41.34973	51.153034	106.0274	82.90884	87.24904
ACCN1	20.84992	37.61524	10.344657	3.5319786	5.116097	18.849417	13.655628	10.255475
ACCN2	126.76655	107.9872	4.7863307	2.8570561	28.666428	102.540565	39.533348	79.26659
ACCN3	19.502316	16.39606	13.453921	17.070564	18.659172	24.72168	14.852437	19.743439
ACCN4	6.6703434	7.4190073	13.8266115	15.7382345	17.327393	12.7490225	6.607315	18.212412
ACCN5	2.4143133	2.1346016	14.864173	8.924968	10.430354	9.788827	11.422336	7.4219766
ACD	29.874035	25.153757	21.562674	48.53297	35.595985	37.532333	44.9273	10.621911
ACE	5.193422	5.4514894	12.924029	1.1571933	10.068497	9.9428	11.5688925	2.6028335
ACE2	2.792735	8.141421	6.365233	3.8350246	13.911271	0.46576986	9.121431	7.5932546
ACER1	2.2048404	3.5216322	4.586835	1.2728554	2.5920608	3.8515043	3.5399947	11.528499
ACER3	124.649635	105.80075	39.17121	27.00709	48.039738	141.01134	30.659199	126.32081
ACHE	33.379555	71.70925	42.901524	12.820542	29.97757	125.09883	40.844738	87.02141
ACIN1	75.19194	83.697395	71.764786	125.39784	96.34512	85.02338	96.90832	78.60228
ACLY	38.581566	67.05135	21.895039	42.6967	55.083893	90.72672	51.441147	63.748936
ACMSD	9.844251	8.4096575	8.002574	10.403558	8.40804	12.698434	10.772369	8.030125
ACN9	16.762852	30.393213	34.94305	32.62125	61.88872	24.943432	31.124023	17.94437
ACO1	84.03163	98.45103	91.98824	53.88138	122.58696	108.68537	96.99009	76.79023
ACO2	227.53494	215.31729	307.50906	83.76382	216.03949	209.8531	606.6259	310.3302
ACOT11	18.192133	14.386978	8.579678	5.678406	18.84491	18.15601	8.490415	8.219177
ACOT12	3.8045554	6.916962	10.610506	7.1488576	11.832429	11.0853615	1.8293672	4.4452515
ACOT4	10.217433	21.654001	7.462695	2.3585792	18.809427	14.290624	1.4103557	17.73034
ACOT7	82.00574	196.20607	55.421585	46.857014	41.21266	291.66742	48.929813	374.1603
ACOT8	39.523014	46.15918	18.465761	23.591562	39.909374	71.95316	30.93379	41.75673
ACOT9	39.880108	51.804424	32.749832	73.53693	78.77071	59.75265	78.029755	61.565166
ACOX1	4.087427	1.4421614	3.1189206	0.6425831	1.5270509	3.0037844	1.9237752	0.9266758
ACOX2	18.560713	17.345846	33.475555	1.7644724	81.098495	8.914649	63.02106	12.495241
ACOX3	32.926006	27.287222	45.343685	28.367449	60.00859	24.883709	49.666428	30.246658
ACOXL	7.29418	0.57720304	4.431792	11.7671585	5.97094	10.724949	5.0946145	0.3351727
ACP1	13.632104	6.948602	17.169014	12.479587	8.337853	2.5778477	2.037061	19.131407
ACP2	94.24241	82.215385	53.679626	105.64019	156.39165	123.028595	146.91615	117.895134
ACP6	46.095604	57.007126	57.232475	54.154312	134.45023	58.20724	165.1711	39.56371
ACRV1	39.317375	30.627232	35.43156	19.942003	31.069643	24.44853	33.22419	36.318607
ACSBG1	329.98782	334.92987	6.654517	6.24507	7.1198044	207.78946	12.878213	216.02834
ACSBG2	23.336544	22.765924	27.405422	22.559673	20.975788	28.411642	29.557735	13.888587
ACSF2	29.345356	14.724186	18.53467	26.294897	23.204037	21.369413	54.818295	8.646425
ACSF3	4.026293	2.5757267	4.8836603	6.05523	5.1623387	10.382919	10.900617	11.421668
ACSL1	265.36728	318.79724	325.27658	106.23781	566.6785	256.06808	623.9071	147.28651
ACSL3	221.3269	270.73053	69.14411	39.392223	125.70766	268.2977	204.65063	293.85687
ACSL4	37.04877	95.20777	17.851166	53.02162	52.519875	78.145966	27.30795	49.234386
ACSL5	24.545477	50.804104	41.69723	90.15808	41.977478	34.79155	42.42898	32.55383
ACSL6	33.742165	37.288918	4.631171	12.3094225	7.55165	90.58324	13.026185	74.69352
ACSM1	2.228159	2.0180535	3.392342	1.3270265	1.2954577	2.4959757	1.4675081	0.8431053
ACSM2A	7.4655623	0.54267323	0.53802145	0.30599692	7.557066	0.87512046	0.562869	1.5351505
ACSM3	1.0032433	0.7094161	9.692374	7.4158583	0.9464262	6.0354223	0.8805782	0.69254786
ACSM5	22.126043	15.631898	4.6169553	13.425051	15.513208	13.508358	9.533429	15.16686
ACSS1	112.250755	89.02169	82.257034	69.84758	85.37945	40.01882	157.32967	87.30404
ACSS2	143.6201	145.50137	151.51152	47.42956	167.9163	162.46983	187.08034	152.71721
ACSS3	24.908308	29.452707	29.350832	18.365992	56.92135	31.342936	39.74977	21.896101
ACTA1	9.662193	17.032146	7040.3364	18.07131	3710.7393	15.603224	7004.549	16.210718
ACTA2	292.83936	230.05994	282.4119	101.49804	1046.3136	1092.4669	1534.5715	94.18355
ACTB	4129.8364	4918.7114	3598.0503	6676.587	3851.221	4032.1628	2343.5989	3111.6743
ACTBL3	56.0113	65.7367	31.541414	109.95941	59.721684	50.563835	33.6564	35.991146
ACTC1	19.007704	50.432323	432.5526	27.05077	308.34314	100.93898	976.4752	55.325397
ACTG1	1834.6176	2427.0132	2888.2703	4083.2346	2448.5635	2122.1118	1370.3657	1766.071
ACTG2	37.17738	21.397692	16.676193	12.985282	377.94623	91.31319	591.4231	98.250916
ACTL6A	53.345066	57.078453	50.791523	123.39126	104.607414	39.83728	52.994896	26.939224
ACTL6B	1.514156	33.171112	1.5675313	4.8202505	7.922469	34.911446	1.5447968	51.986694
ACTN1	73.18031	76.33195	182.99988	179.9769	447.21735	134.57607	348.92963	53.565548
ACTN2	32.778744	7.1858997	860.59033	1.0713862	294.35907	48.058308	1562.4387	71.635254
ACTN3	13.567354	0.83549505	39.607212	11.625725	26.60809	13.489033	48.92567	14.027075
ACTN4	283.26718	304.49603	393.82922	297.29587	361.34204	282.97913	327.61465	204.26865
ACTR10	269.81567	425.83102	216.8828	172.5408	297.13297	511.94144	207.71136	554.62396
ACTR1A	72.08299	93.06443	127.40778	33.67916	81.69338	83.60531	62.878555	116.99668
ACTR2	79.48463	113.089294	83.32554	195.09372	159.43996	131.23578	34.112675	107.09153
ACTR3	141.97612	225.42297	240.63165	802.9847	519.07465	259.3467	189.16237	226.21199
ACTR3B	29.29834	37.11964	10.544681	14.353463	27.332779	53.56227	25.871658	60.81743
ACVR1	62.658062	107.16987	81.44211	48.788612	171.77681	131.1252	143.0245	84.594505
ACVR1B	45.839108	73.10399	69.75608	79.89237	164.41127	128.08456	60.484573	63.156475
ACVR1C	38.46262	25.66156	12.220435	4.1723294	17.060478	37.163517	17.840788	36.08362
ACVR2A	33.809406	59.0316	69.82793	39.696682	123.5268	84.51478	70.47015	47.82699
ACVR2B	5.7825527	5.706389	1.3054236	1.4005405	1.763316	3.5203128	0.92051095	1.5292677
ACVRL1	5.6360765	2.5842247	23.998528	13.4782295	15.586441	3.9090157	9.882608	2.057468
ACY1	35.351063	53.530212	38.631107	50.678596	65.30859	28.831356	79.693535	27.954031
ACY3	3.746507	8.599084	3.5616899	11.496866	0.7757447	17.008757	0.9613647	9.870905
ADA	45.063984	22.907612	28.792461	134.26387	48.810917	48.666843	38.781998	31.649626
ADAD1	32.43379	12.311862	36.216286	26.558231	34.894814	33.130077	19.111427	29.104446
ADAD2	5.774155	5.3589244	5.0162435	20.677288	28.453638	5.379325	28.791143	15.768502
ADAM10	32.297585	41.16798	6.7801466	11.610345	27.871817	37.595924	17.046621	18.58168
ADAM11	2.1630611	4.9095316	6.6011415	3.0165002	3.4445148	7.7987256	2.7222207	9.02193
ADAM12	2.580078	2.1433961	1.7333279	24.676855	7.7453055	2.9879305	1.9653989	11.547533
ADAM15	79.1607	21.041159	153.9595	52.600163	257.05576	41.633907	128.79227	29.526588
ADAM17	97.697235	100.9447	101.395966	161.24883	138.35303	111.6703	77.00031	66.52981
ADAM18	1.6906259	6.0328703	7.8936925	12.830751	10.224316	10.78123	4.582967	4.8239465
ADAM19	40.247	68.51444	59.043694	128.09666	53.961075	56.086994	38.530655	50.47818
ADAM2	0.6014184	7.937169	1.9036869	5.380934	6.021428	4.4200063	4.7491264	0.5338342
ADAM20	3.435528	2.731719	2.0014758	2.200789	10.418831	2.6711414	3.121089	2.2101963
ADAM21	6.7470765	14.165834	3.6294427	14.09836	5.3097305	2.7707233	11.494157	13.151459
ADAM22	7.9457917	7.797459	2.3421059	4.671119	2.8865352	14.137922	2.3324811	7.540908
ADAM23	11.798077	18.388569	23.587322	31.121042	27.626192	20.17573	17.472889	23.824177
ADAM28	43.55747	66.4006	0.5878982	164.52866	54.05392	44.79778	3.2463593	7.513022
ADAM29	3.195247	2.8206532	24.731316	20.985836	3.215059	2.3615727	2.9436624	1.5993956
ADAM30	7.3242717	1.850623	14.300602	25.728365	4.8912997	3.7946007	17.558767	2.9964776
ADAM32	11.876747	15.2340355	18.109747	12.892844	0.32434306	15.48319	1.5239146	5.2868104
ADAM33	15.079351	17.322567	63.41045	0.82073927	24.692947	34.883106	29.91493	18.637636
ADAM7	0.3192971	5.8146825	8.516447	2.0973675	7.0614486	6.977817	2.2155514	0.5770098
ADAM8	1.1256926	4.457787	2.5246747	1.5791796	14.819337	2.2790482	6.3504114	7.4715567
ADAM9	17.907898	24.027079	19.945583	6.863948	116.03666	24.031424	33.976612	14.19569
ADAMDEC1	7.8683934	4.570236	14.825797	231.65622	17.873756	17.103306	14.08242	8.293063
ADAMTS1	216.96967	56.439777	87.054985	4.28846	196.27246	369.028	218.27107	34.30755
ADAMTS10	84.8624	122.95144	77.35267	83.63328	56.90071	91.2147	40.717476	80.618286
ADAMTS12	9.909386	18.601772	23.5967	16.313543	7.5736747	18.197231	12.496561	17.182936
ADAMTS13	3.8599706	4.471911	5.1628532	7.0861	7.923418	27.560955	11.556645	5.37467
ADAMTS14	21.195717	7.2607007	2.737632	5.641146	6.673202	35.350666	10.091984	18.382635
ADAMTS15	0.9701024	0.9038798	1.6197437	2.7536678	2.9207506	1.4472799	2.152842	0.9586264
ADAMTS16	2.3455374	1.502727	1.3209753	9.854509	10.401015	1.4801447	3.382347	7.5305614
ADAMTS17	7.3507056	13.5369215	19.065304	13.699218	20.859547	2.1649096	11.277769	1.3464171
ADAMTS18	9.987792	15.3242855	9.23612	17.050848	16.825207	21.8072	5.0127707	19.816525
ADAMTS19	0.68999994	3.2086606	2.0819194	2.4971163	0.8747146	1.0184653	1.1842993	0.4407109
ADAMTS2	2.9210942	1.5971155	17.568754	6.5487585	19.801641	7.3748765	16.800495	7.8670735
ADAMTS20	0.4105276	0.5444996	1.7296683	0.9673008	2.5180743	9.059046	7.38394	1.203123
ADAMTS3	4.5273905	6.3667927	4.079363	6.203692	14.90065	5.869799	14.892544	6.4267735
ADAMTS4	29.743946	30.106642	19.143818	22.546251	34.781868	25.083534	40.2623	10.306042
ADAMTS5	0.1980576	2.4952612	6.816933	1.2445747	7.6390834	6.137727	4.7504983	0.6555473
ADAMTS6	5.0541654	19.514772	13.234052	4.740287	17.250628	24.59853	16.477852	13.690324
ADAMTS7	6.468294	7.558735	29.72429	4.872312	47.35988	7.19083	18.782238	9.256386
ADAMTS8	10.803818	12.262805	9.273769	5.436266	4.7193074	10.527105	3.2390943	10.258843
ADAMTS9	2.3124185	5.416018	2.2707155	0.92793286	6.099586	2.236349	2.0996237	1.3421359
ADAMTSL4	23.034777	11.810524	36.676662	19.54413	24.901882	19.92628	58.035805	0.99779797
ADAP1	117.96286	120.983635	21.386515	26.756813	38.266678	84.10474	14.499033	96.5776
ADAP2	48.379227	49.45119	40.074963	36.382797	32.63698	47.28024	29.506912	34.674274
ADAR	265.94537	403.65488	167.02042	399.00824	244.46027	387.2723	180.67976	439.43234
ADARB1	24.379105	55.582413	47.091347	74.37976	38.739532	240.67969	36.465004	174.47746
ADARB2	87.76245	101.083664	16.087437	3.6193008	8.346637	59.984978	10.571836	23.58257
ADC	58.83285	79.49563	14.639689	20.79924	25.847963	67.98745	32.181305	66.07347
ADCY1	58.416008	96.45221	29.222208	19.231504	22.194016	210.43326	49.692566	216.5848
ADCY10	0.97512364	7.207069	6.521181	1.081004	1.8614028	7.79866	16.489075	4.226136
ADCY2	14.221765	6.799707	13.82747	2.0345438	8.687321	12.870288	8.810583	8.847602
ADCY3	66.42495	68.78223	49.676197	42.923447	55.496895	52.192413	41.617405	66.317444
ADCY4	23.462759	48.663357	43.65456	35.15166	68.81641	5.7701097	67.238976	4.299474
ADCY5	43.107204	38.190617	27.57837	4.8074994	25.817516	38.090458	23.9053	51.376442
ADCY6	45.80156	69.85857	56.37807	46.700954	117.00551	75.279884	113.63588	69.13195
ADCY7	3.1016848	1.8793101	2.559597	1.1336641	2.0073154	2.261391	2.27774	2.975232
ADCY9	35.45332	44.90102	86.532265	10.103125	69.31962	114.62979	97.38257	89.872025
ADCYAP1	25.742462	68.14473	22.042141	19.475801	14.639806	93.91265	27.103283	85.903206
ADCYAP1R1	17.513418	26.163103	25.509865	11.943992	18.524494	34.13957	28.725729	27.598795
ADD1	213.57974	343.42346	153.16699	171.93034	208.41028	293.89188	192.6887	297.39926
ADFP	37.32287	32.9205	59.034607	80.583374	61.997276	30.953915	111.45473	24.96689
ADH1A	18.35379	10.599259	11.887764	5.5595074	31.694452	19.038866	12.522074	20.359215
ADH1B	14.131841	17.869251	95.37712	31.426466	140.62842	15.343552	113.67825	2.5245633
ADH1C	0.3765157	1.93157	24.256487	7.5851784	16.149452	2.0120184	33.311558	5.4129205
ADH4	67.28875	38.391155	24.561632	42.67504	40.133133	49.181995	73.35722	41.619724
ADH5	118.772736	157.97871	168.28459	199.81818	187.9736	123.286476	196.12682	100.22836
ADH6	0.9975512	1.1019804	0.99440765	10.581341	11.212729	3.0978875	2.0588686	12.203103
ADH7	10.323003	1.0514896	148.01761	30.820883	303.5806	10.2016535	18.513424	9.878351
ADHFE1	64.321365	45.658073	121.487785	56.8313	61.3966	43.265648	105.14622	64.23883
ADI1	188.13585	193.02774	196.57631	139.6049	249.48335	124.609695	459.58252	115.27869
ADIG	1.1304319	1.1540096	22.833258	2.0977702	20.140102	3.521034	1.4225059	1.7543938
ADIPOQ	0.56249666	9.557162	47.908466	8.062494	27.747355	10.037349	69.27697	9.239859
ADIPOR1	129.73941	174.47707	149.9778	133.03017	246.32335	144.2056	160.50195	98.64367
ADIPOR2	447.0297	403.2041	172.59044	77.49187	132.0976	319.29123	136.15639	299.8349
ADM	57.91582	78.29405	122.52419	23.18992	161.68648	50.090637	68.2738	42.313293
ADNP	126.49295	171.7046	117.29409	225.3686	261.51083	162.86615	100.280556	102.46071
ADNP2	87.5515	83.45688	73.418915	77.86472	132.97997	82.28207	62.390762	79.63911
ADORA1	177.16568	116.5889	13.3068695	18.923645	11.751692	160.27695	22.794165	208.0477
ADORA2A	22.832806	31.528545	30.04015	68.80218	17.687155	29.711163	28.086014	19.24806
ADORA2B	7.2678895	12.363001	44.582634	18.036251	49.142593	13.0474	4.311021	11.8233
ADORA3	60.9854	77.90088	20.018276	12.270507	42.031868	45.33832	45.696346	48.58042
ADPGK	121.709404	134.15576	100.77187	225.90688	148.72627	161.47209	133.85419	134.05933
ADRA1A	17.045378	17.858799	7.873373	8.107333	24.080929	22.190884	1.6720659	11.108887
ADRA1B	0.6671607	3.468402	7.782801	3.817935	1.8080189	0.543892	0.67700887	4.846349
ADRA1D	0.84042335	3.2854064	1.4178231	1.1682476	1.3693014	2.7107632	3.4084942	1.6010576
ADRA2A	20.838457	49.97499	14.766979	65.098724	31.386492	14.284015	34.607296	2.9520938
ADRA2B	22.501766	18.676182	18.83919	15.1365385	19.290695	19.055262	11.227791	2.5698655
ADRA2C	35.59213	23.965916	16.888472	15.125028	29.066435	17.28105	16.17654	16.869995
ADRB1	5.32378	0.5352005	8.168332	0.4945337	0.89534605	4.894457	4.3305316	3.9744623
ADRB2	55.193233	62.348064	80.5732	53.17665	101.134865	64.81286	61.696293	33.973145
ADRB3	2.0495815	3.0825171	5.0742974	6.7863708	3.3873622	2.1082957	2.6088634	2.390067
ADRBK1	13.327095	18.940434	22.954214	28.98381	23.31402	36.38	15.719251	16.876173
ADRBK2	13.8856	12.380526	7.7291183	39.163704	17.259087	14.043665	10.603935	24.571112
ADRM1	133.09842	129.55656	226.528	138.574	142.50987	129.47562	229.34682	125.20189
ADSL	72.96994	94.86899	218.39333	197.97836	148.12512	96.73491	229.1458	86.96232
ADSS	116.77265	205.6102	96.738884	122.20402	104.466606	182.40834	66.46025	170.03429
ADSSL1	51.482048	86.78358	773.92615	0.8047349	128.3836	36.07276	703.68964	27.58403
AEBP1	69.98733	57.769444	40.626453	49.72862	88.21276	37.656162	68.394035	27.552778
AEBP2	73.33184	102.84711	74.16865	133.93568	183.38292	107.79235	71.82925	74.985954
AEN	26.304523	16.72591	29.15852	29.532032	31.396706	25.832577	28.558783	7.0451474
AES	115.03244	182.75034	166.71956	142.06369	190.93365	270.82214	243.91377	256.38824
AFAP1L2	39.752926	48.295708	23.162376	19.783077	23.633255	42.884815	10.135251	31.959887
AFF1	215.84317	193.87845	351.75323	228.92496	447.03323	217.68277	346.9919	185.39569
AFF2	32.563213	71.10305	40.831192	37.758102	26.72933	95.64132	30.111113	74.49979
AFF3	0.7471984	0.7064662	0.82961327	3.437118	0.7512612	1.068935	0.70207334	2.8458362
AFF4	4.1919737	4.3164515	6.6302304	3.4195256	10.582891	6.214879	2.1127093	4.930435
AFG3L2	199.20099	349.8455	529.5752	220.67528	384.17252	446.83978	727.9687	478.56235
AFM	9.548452	8.682784	9.194383	13.201482	12.492	7.240105	10.049528	9.41795
AFMID	6.440836	18.85699	2.7771144	3.5786228	21.055347	12.349149	1.3824389	3.637092
AFP	2.4135253	1.9368373	6.3953815	6.65891	7.8749204	4.268563	1.6558442	5.2805967
AFTPH	124.67155	199.61621	179.30002	260.4875	287.28857	244.7574	222.03177	207.13152
AGA	65.18086	56.260616	60.107082	76.47918	97.01306	44.48259	69.994774	22.0132
AGAP1	275.46185	359.0083	81.384	33.035004	76.78624	426.79788	81.224594	396.15726
AGAP2	10.591303	43.65223	4.0418935	21.459179	6.697497	50.51115	14.568084	38.095356
AGAP3	74.053795	80.15298	92.131325	37.997833	116.59078	83.724815	107.951546	67.09819
AGBL1	0.6103442	10.866516	42.181877	8.349417	17.08643	2.1239753	34.8055	2.0371938
AGBL2	10.125237	1.864939	5.0679784	10.8928995	8.807364	3.5166368	8.037624	14.277372
AGBL3	9.577595	1.5857447	3.4638755	1.4068221	5.7964907	9.465867	0.8008282	5.536784
