Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
BNIP3L	366.4667	474.51657	162.7603	164.23462	347.74887	501.79877	170.91296	475.81174
BNIPL	7.7945867	10.832548	25.789501	6.682965	28.848373	4.7615166	1.5625087	1.8281461
BOC	37.950596	10.7467985	113.52734	9.455341	113.58628	13.271998	100.8094	9.34942
BOLL	13.688128	18.914904	22.020817	15.498443	22.998932	19.848797	22.39711	11.814554
BOP1	19.021654	21.796297	10.869446	28.248962	24.329113	9.872488	43.207867	23.743782
BPHL	18.433784	36.28055	49.102028	45.968296	56.23431	32.64817	54.793297	19.46834
BPI	4.3675547	1.5383761	22.208424	2.6872945	4.3987207	23.638544	21.90553	9.124575
BPNT1	17.87655	22.689573	3.330865	45.524235	6.9830627	24.099169	29.420116	11.27311
BPTF	222.94342	263.52487	108.19815	307.55386	207.9012	221.98587	177.04475	187.95648
BPY2	4.7672772	0.8855159	4.296375	0.65439546	1.7968956	0.9327502	5.7626286	0.9399041
BRAF	24.945612	25.462164	23.170475	40.05889	41.46516	28.290642	31.376692	21.024628
BRAP	10.323816	4.7858167	7.8990445	10.289313	9.888793	1.511865	16.25035	5.617138
BRCA1	11.797366	21.503363	6.1897035	36.071903	24.57376	13.624359	1.3436749	9.45857
BRCA2	10.946995	2.1535933	10.272692	9.925607	13.539959	1.2744428	8.383163	2.5540807
BRCC3	20.170591	17.306818	20.13809	20.421913	36.58846	16.505526	14.827594	14.067348
BRD2	208.55531	258.79858	259.22095	448.6482	388.91208	221.4137	386.3632	212.87442
BRD4	143.27727	129.4343	175.76848	268.9583	161.73024	146.7921	215.2784	110.655304
BRD7	98.65014	121.217606	72.402725	90.80888	102.02562	97.19176	61.378586	62.505363
BRD8	158.63235	224.51031	106.38814	158.22148	211.64879	207.69142	163.55931	196.28943
BRDT	0.8215169	4.1432347	1.7060384	5.4251804	1.3313384	6.2128577	0.4676109	0.45644444
BRE	28.102936	9.040112	2.3655465	13.194419	21.460257	23.504044	15.829981	16.357824
BRF1	10.659094	11.25715	13.757431	14.064836	16.03347	12.305057	12.420909	4.987652
BRF2	10.9387245	15.125678	25.456833	15.513995	5.393536	5.9763155	7.9815974	8.370684
